iter	RMSE
0	83907.7505
1	82733.21118
2	81603.01281
3	80507.36094
4	79480.13509
5	78481.91044
6	77535.78508
7	76642.27445
8	75836.59316
9	75015.72163
10	74234.62022
11	73482.26244
12	72821.80338
13	72132.03269
14	71487.34838
15	70882.42981
16	70287.18163
17	69733.28342
18	69217.65848
19	68704.93048
20	68227.49145
21	67769.25513
22	67333.1118
23	66916.53395
24	66522.24907
25	66139.53395
26	65800.10801
27	65474.26249
28	65162.13209
29	64870.62311
30	64567.80322
31	64299.76843
32	64057.11394
33	63825.82404
34	63601.90449
35	63386.15438
36	63179.60711
37	62991.75693
38	62802.21136
39	62622.3503
40	62453.36852
41	62313.04284
42	62157.0251
43	62009.25903
44	61881.07705
45	61751.07665
46	61634.64745
47	61504.54587
48	61394.67108
49	61280.60121
50	61170.55219
51	61072.99743
52	60983.72602
53	60910.60475
54	60828.57755
55	60733.68505
56	60653.71947
57	60586.37268
58	60519.54765
59	60436.85765
60	60379.48947
61	60308.63187
62	60250.84579
63	60182.35376
64	60127.92125
65	60080.71077
66	60018.21094
67	59967.54168
68	59922.2209
69	59874.19507
70	59831.43366
71	59793.07945
72	59748.18751
73	59713.55004
74	59684.98196
75	59650.68778
76	59604.76251
77	59568.36593
78	59540.00777
79	59508.8938
80	59480.82991
81	59435.91702
82	59400.83734
83	59375.99764
84	59347.72097
85	59318.53759
86	59300.2243
87	59278.88755
88	59261.29693
89	59242.55977
90	59218.04229
91	59193.67818
92	59161.39174
93	59146.41383
94	59122.35944
95	59090.75303
96	59079.2927
97	59062.19006
98	59044.85095
99	59039.02809
100	59020.3105
101	59009.45846
102	58989.24876
103	58984.35459
104	58964.89369
105	58949.89914
106	58921.44826
107	58905.77965
108	58886.66301
109	58874.24252
110	58858.1414
111	58833.08605
112	58811.28286
113	58795.95656
114	58789.27394
115	58782.18368
116	58773.23435
117	58766.23591
118	58757.7177
119	58749.61025
120	58742.67455
121	58723.57878
122	58703.19464
123	58689.26231
124	58684.09962
125	58677.96297
126	58671.32407
127	58667.6401
128	58661.07846
129	58655.09148
130	58647.11802
131	58639.54024
132	58628.77218
133	58621.82524
134	58616.41599
135	58608.71938
136	58603.34984
137	58594.99122
138	58587.10531
139	58574.86768
140	58571.13615
141	58551.32048
142	58546.48351
143	58519.84513
144	58518.32778
145	58510.09003
146	58505.22975
147	58498.72482
148	58489.43745
149	58482.40459
150	58472.99274
151	58449.34158
152	58442.15274
153	58428.15784
154	58418.7416
155	58406.6673
156	58401.38613
157	58396.97587
158	58395.26662
159	58391.65461
160	58380.78271
161	58375.57158
162	58357.94326
163	58351.85839
164	58346.11129
165	58339.58399
166	58327.23382
167	58320.49474
168	58315.99435
169	58315.23592
170	58308.31259
171	58301.85644
172	58285.55541
173	58284.19577
174	58281.50626
175	58272.50254
176	58269.93407
177	58267.01988
178	58259.45646
179	58255.61793
180	58248.71141
181	58241.22738
182	58240.07762
183	58233.36012
184	58227.46165
185	58214.54889
186	58208.46443
187	58204.50603
188	58202.85695
189	58197.9788
190	58195.99083
191	58183.70829
192	58179.19683
193	58173.89703
194	58169.21356
195	58168.5025
196	58160.87556
197	58155.65473
198	58148.01814
199	58145.28982
200	58139.5582
201	58130.29931
202	58124.90312
203	58124.24623
204	58118.36056
205	58113.37598
206	58104.81142
207	58099.23213
208	58095.91551
209	58091.27041
210	58088.71085
211	58086.18975
212	58078.50663
213	58070.79088
214	58064.85615
215	58062.38145
216	58059.422
217	58053.54146
218	58051.32249
219	58048.21239
220	58043.75752
221	58037.48749
222	58026.81111
223	58024.41857
224	58020.57572
225	58012.50926
226	58000.55764
227	57994.14484
228	57984.06914
229	57980.98079
230	57971.4529
231	57968.3882
232	57956.17529
233	57947.29642
234	57944.2555
235	57938.91551
236	57925.00631
237	57916.41517
238	57914.47164
239	57906.384
240	57904.72405
241	57897.88564
242	57894.52702
243	57894.3012
244	57887.55547
245	57882.03858
246	57878.98102
247	57876.50412
248	57875.13922
249	57871.57524
250	57865.47796
251	57858.25569
252	57852.60015
253	57843.01688
254	57842.87238
255	57840.24088
256	57838.44321
257	57835.409
258	57826.69387
259	57807.93453
260	57803.06801
261	57801.83092
262	57796.59998
263	57792.29519
264	57791.05089
265	57787.42129
266	57784.79869
267	57781.02795
268	57778.88764
269	57763.8645
270	57754.03117
271	57752.06208
272	57740.94671
273	57737.43646
274	57733.5681
275	57731.11809
276	57726.85747
277	57717.71826
278	57709.54238
279	57706.43601
280	57697.10776
281	57689.0281
282	57686.45673
283	57682.91082
284	57675.19208
285	57671.41294
286	57671.24226
287	57667.9939
288	57666.02844
289	57661.27113
290	57658.94084
291	57653.08133
292	57650.0944
293	57649.15254
294	57646.05621
295	57643.09872
296	57637.19672
297	57631.6728
298	57631.27449
299	57629.23201
300	57624.01365
301	57621.6234
302	57620.09773
303	57617.8964
304	57609.01174
305	57607.15008
306	57605.37049
307	57603.70686
308	57592.05435
309	57591.22846
310	57589.03852
311	57585.1878
312	57583.43909
313	57577.40395
314	57577.3741
315	57566.98713
316	57565.17891
317	57563.5121
318	57560.07657
319	57558.93086
320	57556.6092
321	57550.73373
322	57547.82767
323	57545.54319
324	57533.36102
325	57530.39156
326	57523.47238
327	57517.47203
328	57516.33608
329	57516.02518
330	57510.81969
331	57508.71607
332	57500.75214
333	57498.48094
334	57494.07117
335	57493.93505
336	57493.81611
337	57490.15169
338	57488.85696
339	57477.85185
340	57477.15642
341	57475.38556
342	57471.53704
343	57468.53367
344	57466.90071
345	57463.48896
346	57461.00008
347	57445.72718
348	57441.73719
349	57437.86738
350	57434.07171
351	57428.01125
352	57419.6384
353	57418.14435
354	57409.8219
355	57404.60365
356	57401.64291
357	57390.41025
358	57383.77103
359	57379.89176
360	57375.6269
361	57373.97428
362	57372.00833
363	57370.28459
364	57368.49944
365	57366.22634
366	57364.52016
367	57364.41944
368	57362.21754
369	57360.56422
370	57353.05741
371	57348.86824
372	57346.9736
373	57344.77672
374	57335.59174
375	57335.31786
376	57326.50194
377	57326.08928
378	57318.09635
379	57317.39705
380	57310.7805
381	57309.36933
382	57304.34404
383	57298.70335
384	57294.87573
385	57289.72185
386	57289.62308
387	57283.29385
388	57279.01294
389	57278.15316
390	57275.61368
391	57269.76
392	57269.66868
393	57265.27003
394	57262.82084
395	57256.25977
396	57255.05822
397	57251.17454
398	57247.74608
399	57244.59353
400	57244.52735
401	57243.74628
402	57241.72917
403	57236.42816
404	57235.92502
405	57235.76474
406	57231.57878
407	57229.91983
408	57227.79033
409	57225.01518
410	57224.68602
411	57223.25074
412	57220.84204
413	57220.75413
414	57219.3413
415	57219.22201
416	57218.72768
417	57212.87638
418	57211.25179
419	57207.45702
420	57207.24793
421	57201.34445
422	57199.06301
423	57194.36165
424	57191.21787
425	57190.04294
426	57186.92317
427	57186.39729
428	57185.08307
429	57183.7927
430	57178.17562
431	57173.0479
432	57172.42523
433	57168.50868
434	57164.77079
435	57159.10064
436	57157.61234
437	57157.50749
438	57156.20794
439	57154.90854
440	57143.72975
441	57143.54563
442	57132.72173
443	57122.38183
444	57117.26023
445	57116.13339
446	57115.23463
447	57114.62629
448	57108.95642
449	57108.08065
450	57107.88629
451	57106.7365
452	57101.90438
453	57099.5198
454	57094.12144
455	57090.50335
456	57085.33267
457	57085.26513
458	57080.68205
459	57080.11488
460	57079.75001
461	57072.46783
462	57070.18017
463	57068.38631
464	57068.36713
465	57068.33894
466	57068.24858
467	57067.03343
468	57066.1345
469	57060.66717
470	57059.38658
471	57054.89949
472	57053.72665
473	57051.21438
474	57045.55259
475	57044.44039
476	57039.70911
477	57038.59995
478	57028.32068
479	57027.71318
480	57027.13672
481	57026.58968
482	57026.5267
483	57026.00773
484	57016.29772
485	57015.8036
486	57014.14436
487	57004.86309
488	56999.95787
489	56994.31065
490	56987.03893
491	56986.97722
492	56985.62196
493	56985.56128
494	56982.83776
495	56979.38873
496	56977.98752
497	56977.51252
498	56977.45471
499	56972.24076
500	56970.99409
501	56970.6059
502	56966.67824
503	56964.53622
504	56964.48168
505	56964.04119
506	56962.11886
507	56961.1267
508	56959.97861
509	56955.28502
510	56953.84707
511	56951.41569
512	56950.45964
513	56949.65889
514	56947.68707
515	56946.12844
516	56945.14623
517	56940.11006
518	56939.7499
519	56934.42313
520	56927.67268
521	56919.06462
522	56910.83562
523	56907.67422
524	56902.24446
525	56900.1203
526	56898.18661
527	56893.25633
528	56892.36568
529	56885.85122
530	56885.65687
531	56882.81998
532	56878.86365
533	56878.1333
534	56876.77095
535	56873.9913
536	56869.2057
537	56864.33438
538	56863.91503
539	56861.52573
540	56857.89913
541	56857.5029
542	56857.19901
543	56856.27461
544	56854.41368
545	56852.83093
546	56851.73845
547	56850.20388
548	56849.02563
549	56844.27611
550	56839.19795
551	56838.90532
552	56837.98153
553	56836.56563
554	56834.87963
555	56833.4839
556	56832.24474
557	56831.69768
558	56830.6622
559	56829.81491
560	56827.73171
561	56827.38321
562	56822.68702
563	56820.5591
564	56819.73718
565	56819.69805
566	56818.52935
567	56812.74254
568	56812.46438
569	56810.45102
570	56808.50832
571	56802.0982
572	56799.70884
573	56795.53002
574	56787.87465
575	56787.1792
576	56783.70335
577	56782.56564
578	56776.10568
579	56775.28241
580	56771.90617
581	56768.9352
582	56767.9448
583	56766.96415
584	56766.30555
585	56761.85468
586	56751.85577
587	56746.32325
588	56739.1407
589	56729.7628
590	56725.40277
591	56724.51687
592	56724.23288
593	56720.90463
594	56714.1976
595	56713.86677
596	56713.83138
597	56712.03814
598	56710.78972
599	56708.35592
600	56701.748
601	56697.1514
602	56696.39956
603	56691.37743
604	56689.33926
605	56684.34214
606	56679.65308
607	56679.28214
608	56678.71462
609	56674.26
610	56669.542
611	56668.38333
612	56667.28374
613	56658.96965
614	56658.62059
615	56657.20871
616	56655.49799
617	56650.39801
618	56649.8313
619	56649.50508
620	56646.99103
621	56645.96167
622	56642.18587
623	56641.34346
624	56641.31258
625	56639.9787
626	56634.783
627	56633.68278
628	56633.37204
629	56631.4888
630	56631.12856
631	56630.83149
632	56626.49733
633	56625.45021
634	56622.37274
635	56620.05307
636	56619.06738
637	56616.70128
638	56615.72507
639	56606.86345
640	56604.46557
641	56603.47891
642	56582.0109
643	56581.23398
644	56580.23755
645	56578.02233
646	56576.05335
647	56575.72557
648	56574.89721
649	56572.29286
650	56571.30313
651	56565.23866
652	56564.29607
653	56563.09667
654	56562.78802
655	56561.99115
656	56556.89458
657	56552.88682
658	56552.59059
659	56551.70034
660	56550.81414
661	56548.34639
662	56545.24075
663	56545.21342
664	56543.11361
665	56539.10313
666	56538.82126
667	56538.79432
668	56528.12712
669	56524.25604
670	56523.49263
671	56520.10064
672	56519.59143
673	56518.71254
674	56518.68674
675	56518.41755
676	56516.54029
677	56516.28261
678	56511.53325
679	56506.94662
680	56503.19571
681	56499.5097
682	56498.55918
683	56493.25236
684	56492.54566
685	56491.07332
686	56490.58722
687	56485.97141
688	56485.41221
689	56484.93998
690	56484.47008
691	56482.25613
692	56481.41204
693	56481.1392
694	56480.45376
695	56476.49872
696	56476.47533
697	56471.56228
698	56467.8642
699	56466.98538
700	56466.34745
701	56464.23032
702	56463.72884
703	56460.98211
704	56460.70176
705	56458.64663
706	56451.62877
707	56450.76656
708	56446.9332
709	56441.35363
710	56439.56457
711	56439.41325
712	56438.88712
713	56438.43362
714	56437.73434
715	56436.92985
716	56432.24037
717	56432.21949
718	56430.85369
719	56428.39789
720	56424.88823
721	56424.53874
722	56423.92758
723	56414.04428
724	56413.21099
725	56407.38528
726	56407.12515
727	56407.04126
728	56406.79278
729	56402.70458
730	56402.45388
731	56395.52784
732	56393.39666
733	56386.92495
734	56386.66279
735	56382.24203
736	56378.1402
737	56375.19344
738	56368.5011
739	56368.07428
740	56367.60066
741	56365.84804
742	56365.59994
743	56365.44455
744	56359.11911
745	56356.83338
746	56356.59891
747	56353.86831
748	56352.93509
749	56352.84155
750	56352.4003
751	56350.68262
752	56345.45404
753	56341.6801
754	56341.66219
755	56340.03995
756	56335.04091
757	56334.38913
758	56332.10757
759	56329.04356
760	56325.95104
761	56322.39038
762	56321.67074
763	56321.04216
764	56318.99468
765	56317.62342
